,Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
0,Analysis and design of hybrid electric regional turboprop aircraft,CEAS Aeronautical Journal,,9.0,1,10.1007/s13272-017-0272-1,Mark VoskuijlJoris van BogaertArvind G. Rao,2018,http://link.springer.com/article/10.1007/s13272-017-0272-1,Article
1,The Directory,The Writers Directory 1980–82,,,,10.1007/978-1-349-03650-9_1,,1979,http://link.springer.com/chapter/10.1007/978-1-349-03650-9_1,Chapter
2,Company Profiles,The Corporate Directory of U.S. Public Companies,,,,10.1007/978-1-349-13574-5_1,Robert M. Walsh,1994,http://link.springer.com/chapter/10.1007/978-1-349-13574-5_1,Chapter
3,DC supply structure and protection concept for (hybrid) electric CS-25 aircraft,CEAS Aeronautical Journal,,11.0,3,10.1007/s13272-020-00443-0,Arne HinzBenedikt AignerRik W. De DonckerEike Stumpf,2020,http://link.springer.com/article/10.1007/s13272-020-00443-0,Article
4,A,Van Nostrand’s Scientific Encyclopedia,,,,10.1007/978-1-4757-6918-0_1,Douglas M. Considine P.E.Glenn D. Considine,1995,http://link.springer.com/chapter/10.1007/978-1-4757-6918-0_1,Chapter
5,"Mass, primary energy, and cost: the impact of optimization objectives on the initial sizing of hybrid-electric general aviation aircraft",CEAS Aeronautical Journal,,11.0,3,10.1007/s13272-020-00449-8,D. Felix FingerFalk GöttenCarsten BraunCees Bil,2020,http://link.springer.com/article/10.1007/s13272-020-00449-8,Article
6,S,Van Nostrand’s Scientific Encyclopedia,,,,10.1007/978-1-4757-6918-0_19,Douglas M. Considine P.E.Glenn D. Considine,1995,http://link.springer.com/chapter/10.1007/978-1-4757-6918-0_19,Chapter
7,Company Profiles,The Corporate Directory of U.S. Public Companies 1995,,,,10.1007/978-1-349-13890-6_1,,1995,http://link.springer.com/chapter/10.1007/978-1-349-13890-6_1,Chapter
8,Improving the operating efficiency of the more electric aircraft concept through optimised flight procedures,CEAS Aeronautical Journal,,10.0,2,10.1007/s13272-018-0327-y,Ravinka SeresinheCraig LawsonIrfan Madani,2019,http://link.springer.com/article/10.1007/s13272-018-0327-y,Article
9,C,Van Nostrand’s Scientific Encyclopedia,,,,10.1007/978-1-4757-6918-0_3,Douglas M. Considine P.E.Glenn D. Considine,1995,http://link.springer.com/chapter/10.1007/978-1-4757-6918-0_3,Chapter
10,P,Van Nostrand’s Scientific Encyclopedia,,,,10.1007/978-1-4757-6918-0_16,Douglas M. Considine P.E.Glenn D. Considine,1995,http://link.springer.com/chapter/10.1007/978-1-4757-6918-0_16,Chapter
11,H,Van Nostrand’s Scientific Encyclopedia,,,,10.1007/978-1-4757-6918-0_8,Douglas M. Considine P.E.Glenn D. Considine,1995,http://link.springer.com/chapter/10.1007/978-1-4757-6918-0_8,Chapter
12,Contemporary Architects,Contemporary Architects,,,,10.1007/978-1-349-04184-8_1,Muriel Emanuel,1980,http://link.springer.com/chapter/10.1007/978-1-349-04184-8_1,Chapter
13,G,Van Nostrand’s Scientific Encyclopedia,,,,10.1007/978-1-4757-6918-0_7,Douglas M. Considine P.E.Glenn D. Considine,1995,http://link.springer.com/chapter/10.1007/978-1-4757-6918-0_7,Chapter
14,Aircraft noise generation and assessment: executive summary,CEAS Aeronautical Journal,,10.0,1,10.1007/s13272-019-00384-3,L. BertschM. SnellenL. EnghardtC. Hillenherms,2019,http://link.springer.com/article/10.1007/s13272-019-00384-3,Article
15,Abstracts of Documents in this Supplement,Political Science Abstracts,,,,10.1007/978-1-4615-7625-9_1,,1992,http://link.springer.com/chapter/10.1007/978-1-4615-7625-9_1,Chapter
16,R,Van Nostrand’s Scientific Encyclopedia,,,,10.1007/978-1-4757-6918-0_18,Douglas M. Considine P.E.Glenn D. Considine,1995,http://link.springer.com/chapter/10.1007/978-1-4757-6918-0_18,Chapter
17,E,Van Nostrand’s Scientific Encyclopedia,,,,10.1007/978-1-4757-6918-0_5,Douglas M. Considine P.E.Glenn D. Considine,1995,http://link.springer.com/chapter/10.1007/978-1-4757-6918-0_5,Chapter
18,A new aircraft architecture based on the ACHEON Coanda effect nozzle: flight model and energy evaluation,European Transport Research Review,,8.0,2,10.1007/s12544-016-0198-4,Michele TrancossiMauro MadoniaAntonio DumasDiego AngeliChris BinghamShyam Sumanta DasFrancesco GrimacciaJose Pascoa MarquesEliana PorrecaTim SmithPaul StewartMaharshi SubhashAnna SunolDean Vucinic,2016,http://link.springer.com/article/10.1007/s12544-016-0198-4,Article
19,N,Van Nostrand’s Scientific Encyclopedia,,,,10.1007/978-1-4757-6918-0_14,Douglas M. Considine P.E.Glenn D. Considine,1995,http://link.springer.com/chapter/10.1007/978-1-4757-6918-0_14,Chapter
20,Entries,The Palgrave Dictionary of Transnational History,,,,10.1007/978-1-349-74030-7_1,Harry LiebersohnMartin KlimkeDorota DakowskaSandrine KottW. Caleb McDanielTom BrookingAlan JeevesTobias HübinetteSimona De IulioCemil AydinWilliam MinterAndreas EckertThomas AdamJ. Bishop GrewellPaul J. DosalJames Longhurst,2009,http://link.springer.com/chapter/10.1007/978-1-349-74030-7_1,Chapter
21,Abstracts of Documents in This Supplement,Political Science Abstracts,,,,10.1007/978-1-4615-7628-0_1,,1993,http://link.springer.com/chapter/10.1007/978-1-4615-7628-0_1,Chapter
22,L,Van Nostrand’s Scientific Encyclopedia,,,,10.1007/978-1-4757-6918-0_12,Douglas M. Considine P.E.Glenn D. Considine,1995,http://link.springer.com/chapter/10.1007/978-1-4757-6918-0_12,Chapter
23,Mobile Satellite Antenna Systems,Global Mobile Satellite Communications Theory,,,,10.1007/978-3-319-39171-7_4,Stojče Dimov Ilčev,2017,http://link.springer.com/chapter/10.1007/978-3-319-39171-7_4,Chapter
24,Polymer and ceramic nanocomposites for aerospace applications,Applied Nanoscience,,7.0,8,10.1007/s13204-017-0592-9,Vivek T. RathodJayanth S. KumarAnjana Jain,2017,http://link.springer.com/article/10.1007/s13204-017-0592-9,Article
25,Power Density as the Key Enabler for Electrified Mobility,Polytechnica,,1.0,1 - 2,10.1007/s41050-018-0002-4,Andrew Alleyne,2018,http://link.springer.com/article/10.1007/s41050-018-0002-4,Article
26,56th EASD Annual Meeting of the European Association for the Study of Diabetes,Diabetologia,,63.0,1,10.1007/s00125-020-05221-5,,2020,http://link.springer.com/article/10.1007/s00125-020-05221-5,Article
27,Long-term application potential of urban air mobility complementing public transport: an upper Bavaria example,CEAS Aeronautical Journal,,,,10.1007/s13272-020-00468-5,K. O. PloetnerC. Al HaddadC. AntoniouF. FrankM. FuS. KabelC. LlorcaR. MoeckelA. T. MorenoA. PukhovaR. RothfeldM. ShamiyehA. StraubingerH. WagnerQ. Zhang,2020,http://link.springer.com/article/10.1007/s13272-020-00468-5,Article
28,Multi-level perspectives with technology readiness measures for aviation innovation,Sustainability Science,,8.0,1,10.1007/s11625-012-0187-z,Hiroko NakamuraYuya KajikawaShinji Suzuki,2013,http://link.springer.com/article/10.1007/s11625-012-0187-z,Article
29,The Electric Power Grid: Today and Tomorrow,MRS Bulletin,,33.0,4,10.1557/mrs2008.80,Massoud AminJohn Stringer,2008,http://link.springer.com/article/10.1557/mrs2008.80,Article
30,Modeling hybrid polymer–nanometal lightweight structures,Aerospace Systems,,2.0,2,10.1007/s42401-018-00022-6,Bharat BhagaCraig A. Steeves,2019,http://link.springer.com/article/10.1007/s42401-018-00022-6,Article
31,Last-mile delivery concepts: a survey from an operational research perspective,OR Spectrum,,,,10.1007/s00291-020-00607-8,Nils BoysenStefan FedtkeStefan Schwerdfeger,2020,http://link.springer.com/article/10.1007/s00291-020-00607-8,Article
32,ECR 2005 – Scientific Programme – Abstracts,European Radiology Supplements,,15.0,1,10.1007/s10406-005-0100-2,,2005,http://link.springer.com/article/10.1007/s10406-005-0100-2,Article
33,RETRACTED ARTICLE: Microstructure and mechanical behavior of A356/SiC/Fly-ash hybrid composites produced by electromagnetic stir casting,Journal of the Brazilian Society of Mechanical Sciences and Engineering,,37.0,1,10.1007/s40430-014-0138-y,Shashi Prakash DwivediSatpal SharmaRaghvendra Kumar Mishra,2015,http://link.springer.com/article/10.1007/s40430-014-0138-y,Article
34,D,Van Nostrand’s Scientific Encyclopedia,,,,10.1007/978-1-4757-6918-0_4,Douglas M. Considine P.E.Glenn D. Considine,1995,http://link.springer.com/chapter/10.1007/978-1-4757-6918-0_4,Chapter
